Unnamed: 0,id,image,text,title,url,full_description,translation
0,TANKER,https://mynoise.net/Data/TANKER/bg.jpg,"Seahorse Power Follow Oliver Trainor into the bowels of a sea monster. Oliver is a seafarer and engineer on cargo ships. As a fan of myNoise, he kindly offered to take a recording device along on one of his voyages, and to record the noises that form a part of his daily life. Machinery noises in a cargo ship can be deafening, but with some good hearing protection - or here on myNoise - they can be relaxing. This generator can be used as a powerful noise blocker, assuming you are open to the idea of working (or sleeping?) inside a cargo ship. Oliver took the trouble to record each piece of machinery separately. Of course, we have the sound of the main engine that drives the propeller and moves the ship through the water, but also smaller ones, like the auxilary engine . This one, coupled to a generator, produces the electricity available aboard. A whining noise can be heard in the purifier room . It comes from a high-speed centrifuge that is used to remove impurities from the ship's fuel before it is supplied to the engine. The crackling noise comes from the inert gas generator . Why would one need to use inert gas, in a tanker? Because oil tankers produce flammable vapors when loaded for a voyage. Even when empty of oil, there can still be harmful flammable gases in the hold. These vapors present a great risk of explosion, when mixed with the oxygen in the air. To prevent this, an inert gas - one that does not contain oxygen - is produced on board, and pumped into storage areas where flammable gases are present. ",Cargo Engine Room,https://mynoise.net/NoiseMachines/oilTankerMachineryNoiseGenerator.php,"Cargo Engine Room
Seahorse Power Follow Oliver Trainor into the bowels of a sea monster. Oliver is a seafarer and engineer on cargo ships. As a fan of myNoise, he kindly offered to take a recording device along on one of his voyages, and to record the noises that form a part of his daily life. Machinery noises in a cargo ship can be deafening, but with some good hearing protection - or here on myNoise - they can be relaxing. This generator can be used as a powerful noise blocker, assuming you are open to the idea of working (or sleeping?) inside a cargo ship. Oliver took the trouble to record each piece of machinery separately. Of course, we have the sound of the main engine that drives the propeller and moves the ship through the water, but also smaller ones, like the auxilary engine . This one, coupled to a generator, produces the electricity available aboard. A whining noise can be heard in the purifier room . It comes from a high-speed centrifuge that is used to remove impurities from the ship's fuel before it is supplied to the engine. The crackling noise comes from the inert gas generator . Why would one need to use inert gas, in a tanker? Because oil tankers produce flammable vapors when loaded for a voyage. Even when empty of oil, there can still be harmful flammable gases in the hold. These vapors present a great risk of explosion, when mixed with the oxygen in the air. To prevent this, an inert gas - one that does not contain oxygen - is produced on board, and pumped into storage areas where flammable gases are present. ","Номер Грузовой Двигатель 
Конек власти следовать Оливер Трейнор в недрах морского чудовища. Оливер моряк и инженер на грузовых судах. Как фанат myNoise, он любезно предложил взять записывающее устройство вместе с одной из своих путешествий, и для записи шумов, которые являются частью его повседневной жизни. Машинами шумы в грузовое судно может быть оглушительным, но с некоторых хорошая защита органов слуха - или здесь на myNoise - они могут быть расслабляющим. Этот генератор может быть использован как мощный блокиратор шума, Если вы открыты к идее работает (или спит?) внутри грузовое судно. Оливер взял на себя труд записать каждую единицу техники отдельно. Конечно, у нас есть звук главной движущей силой пропеллера и движения корабля по воде, но и более мелкие, такие как двигатель, вспомогательная . Это, в сочетании с генератором, производит электричество на борту. Воющий шум можно услышать в очиститель номер . Он поставляется с высокоскоростной центрифуге, которая используется для удаления примесей из корабельного топлива перед подачей в двигатель. Треск шум идет от генератора инертного газа . Зачем нужно использовать инертный газ, в танкер? Потому что нефтяные танкеры производят легковоспламеняющиеся пары, при погрузке для рейса. Даже когда она пуста нефти, там еще могут быть вредны легковоспламеняющихся газов в трюме. Эти пары представляют собой огромную опасность взрыва при смешивании с кислородом в воздухе. Чтобы предотвратить это, инертный газ, который не содержит кислорода - производится на борту, и закачивается в складских помещениях, где присутствует горючий газ. "
1,MAGIC_JAPAN,https://mynoise.net/Data/MAGIC_JAPAN/bg.jpg,"Discover our Magic Generator Series... for Patrons Only. You may have been amazed by a couple of myNoise sound generators before, but these ones will quite literally surprise you, always! Our Magic series is a bonus for the people who support this website. Every time the page loads, stems are blindly drawn from our large pool of high quality audio recordings, creating an ambience that is unique to this moment. ",日本,https://mynoise.net/NoiseMachines/magicJapanGenerator.php,"日本
Discover our Magic Generator Series... for Patrons Only. You may have been amazed by a couple of myNoise sound generators before, but these ones will quite literally surprise you, always! Our Magic series is a bonus for the people who support this website. Every time the page loads, stems are blindly drawn from our large pool of high quality audio recordings, creating an ambience that is unique to this moment. ","日本
Откройте для себя нашу серию волшебный генератор... для патронов только. Вы можете быть поражены несколько звуковых генераторов myNoise раньше, но они будут в буквальном смысле удивит вас, всегда! Наши волшебные серии-это бонус для людей, которые поддерживают этот сайт. Каждый раз при загрузке страницы, стебли слепо взяты из нашей большой бассейн из высококачественных аудиозаписей, создавая атмосферу, которая является уникальной на данный момент. "
2,RAIN3,https://mynoise.net/Data/RAIN3/bg.jpg,"The Rain on your Tent, without the Damp Shirt You are lying under a tarp tent, listening to the rain gently fall overhead as the rain falls from the sky, drips off of trees above, and lands on your tent. This particular sound will bring back memories for many who used to go camping as children. It also helps to keep things in perspective, reminding us that sometimes, the real comfort can be as simple as having shelter for the night, especially when it starts to rain! Try combining this generator with our Jungle Life for a truly immersive experience. ",Rain on a Tent,https://mynoise.net/NoiseMachines/campingRainNoiseGenerator.php,"Rain on a Tent
The Rain on your Tent, without the Damp Shirt You are lying under a tarp tent, listening to the rain gently fall overhead as the rain falls from the sky, drips off of trees above, and lands on your tent. This particular sound will bring back memories for many who used to go camping as children. It also helps to keep things in perspective, reminding us that sometimes, the real comfort can be as simple as having shelter for the night, especially when it starts to rain! Try combining this generator with our Jungle Life for a truly immersive experience. ","Дождь по палатке
Дождь по палатке, без влажной рубашке вы лежите под тентом, брезентом, слушая, как дождь мягко падать накладные, как дождь падает с неба, капает прочь над деревьями, и попадает на вашу палатку. Этот конкретный звук будет вернуть воспоминания для многих, кто ходил в походы, как дети. Это также помогает держать вещи в перспективе, напоминая нам, что иногда настоящий комфорт может быть как простой, как приют на ночь, особенно когда начинается дождь! Попробуйте соединить этот генератор с нашей жизнью джунглей по-настоящему захватывающий опыт. "
3,SAILBOAT2,https://mynoise.net/Data/SAILBOAT2/bg.jpg,"The Yacht without the Seasickness Ahoy there shipmates! Here we are again with a new take on our original sailboat experience . This time we embark on a smaller boat, and we have to prepare for bad weather conditions: thunderstorms are forecast for the evenings. The recordings are extremely varied and represent all the noises that were available to record during a one week trip in the Mediterranean sea, sailing a Dufour 500 Grand Large . Make sure to try all the different sliders separately! Special thanks to Rémy Pigeon for capturing all the original stems on this generator. ",Open Sea,https://mynoise.net/NoiseMachines/offshoreYachtSoundscapeGenerator.php,"Open Sea
The Yacht without the Seasickness Ahoy there shipmates! Here we are again with a new take on our original sailboat experience . This time we embark on a smaller boat, and we have to prepare for bad weather conditions: thunderstorms are forecast for the evenings. The recordings are extremely varied and represent all the noises that were available to record during a one week trip in the Mediterranean sea, sailing a Dufour 500 Grand Large . Make sure to try all the different sliders separately! Special thanks to Rémy Pigeon for capturing all the original stems on this generator. ","Открытое Море
Яхта без морской болезни Здравствуйте товарищи! Здесь мы снова с новый взгляд на наш первоначальный опыт парусник . На этот раз мы отправимся на небольшой лодке, и мы должны подготовить для плохих погодных условий: грозы прогнозируют на вечер. Записи весьма разнообразны и представляют все шумы, которые были доступны для записи в течение одной недельной поездки в Средиземном море, плавая на Дюфур 500 штук большие . Обязательно попробуйте все различные движки отдельно! Особая благодарность Реми Pigeon для захвата все оригинальные стволы на этот генератор. "
4,PIANO,https://mynoise.net/Data/PIANO/bg.jpg,"An Acoustic Piano At Last... I play the piano and have a piano at home, yet it took years before I could release a dedicated acoustic piano soundscape on myNoise. Why? Because myNoise's custom audio engine is a strange beast, one that's hard to tame when it comes to producing musical soundscapes. Try making music when the 10 stems – the sliders above – are not in sync. Because of this (lack of) constraint, designing a pleasant musical soundscape always takes time. But when it's finished, and once the ear is accustomed to that gentle chaos and intrinsic randomness of myNoise, the result is amazing because the combination never repeats. Another challenge is the sound itself. Mixing so many sources requires each stem to leave sonic room for the others. A lot of tricks have been used in the time and frequency domains, the stereophonic field and even the timbre of the instrument. For example, this soundscape does not rely on one single piano, but two: my grand piano at home, in Belgium, and a piano in the U.S. thanks to the kind help of our friend Torley . Separated by 5,000 miles, these two pianos will surely leave sonic room for each other. ;-) ",88 Keys,https://mynoise.net/NoiseMachines/acousticPianoSoundscapeGenerator.php,"88 Keys
An Acoustic Piano At Last... I play the piano and have a piano at home, yet it took years before I could release a dedicated acoustic piano soundscape on myNoise. Why? Because myNoise's custom audio engine is a strange beast, one that's hard to tame when it comes to producing musical soundscapes. Try making music when the 10 stems – the sliders above – are not in sync. Because of this (lack of) constraint, designing a pleasant musical soundscape always takes time. But when it's finished, and once the ear is accustomed to that gentle chaos and intrinsic randomness of myNoise, the result is amazing because the combination never repeats. Another challenge is the sound itself. Mixing so many sources requires each stem to leave sonic room for the others. A lot of tricks have been used in the time and frequency domains, the stereophonic field and even the timbre of the instrument. For example, this soundscape does not rely on one single piano, but two: my grand piano at home, in Belgium, and a piano in the U.S. thanks to the kind help of our friend Torley . Separated by 5,000 miles, these two pianos will surely leave sonic room for each other. ;-) ","88 клавиш
Акустический рояль наконец-то... я играю на фортепиано и пианино дома, но потребовались годы, прежде чем я успел выпустить специальную акустического фортепиано звуковой на myNoise. Почему? Поскольку пользовательские звуковой движок myNoise-это странный зверь, который трудно приручить, когда дело доходит до производства музыкальных звуков. Попробовать делать музыку, когда 10 стеблей – выше ползунки – не синхронизированы. Из-за этого (отсутствие) ограничений, создав приятное музыкальное звучание, всегда требуется время. Но когда она будет закончена, и после того, как ухо привыкло к мягким хаос и внутренние случайности myNoise, результат удивительный, потому что комбинация никогда не повторяется. Еще одной проблемой является сам звук. Смешивать так много источников требует от каждого стебля, чтобы оставить звуковое пространство для остальных. Много уловок, которые были использованы во временной и частотной областях, в области стереофонии и даже тембр инструмента. Например, это звучание не полагаться на один рояль, а два: мой рояль дома, в Бельгии, и пианино в США благодаря любезной помощи нашего друга Torley . Разделенные 5000 миль, этих двух фортепиано, несомненно, оставит Соника друг другу. ;-) "
5,WHITENOTCH,https://mynoise.net/Data/WHITENOTCH/bg.jpg,"Something is missing... White Noise is created by a continuum of frequencies equally distributed over the whole hearing range. Notch Noise is a variation that introduces a strong frequency dip in the middle of each band. If you are suffering from tinnitus, you can use notched noise to stimulate auditory cells adjacent to those creating your tinnitus. To program the correct settings, start with the Peak Noise first and try to reproduce the sound of your tinnitus with that one. Then, replicate the same slider settings here, or follow the instruction found on the peak noise page. ",Notch Noise,https://mynoise.net/NoiseMachines/notchNoiseGenerator.php,"Notch Noise
Something is missing... White Noise is created by a continuum of frequencies equally distributed over the whole hearing range. Notch Noise is a variation that introduces a strong frequency dip in the middle of each band. If you are suffering from tinnitus, you can use notched noise to stimulate auditory cells adjacent to those creating your tinnitus. To program the correct settings, start with the Peak Noise first and try to reproduce the sound of your tinnitus with that one. Then, replicate the same slider settings here, or follow the instruction found on the peak noise page. ","Нотч Шума
Чего-то не хватает... Белый шум создается в континууме частот, равномерно распределенных по всему диапазону слуха. Нотч шума это изменение, которое вносит сильные частотные погружение в середину каждой полосы. Если вы страдаете от шума в ушах, можно использовать зубчатый шума, чтобы стимулировать слуховые клетки, прилегающие к тех, кто создает свой шум в ушах. В программе правильные настройки, начните с пике шума первого и попытайтесь воспроизвести звук в ваших ушах с этим. Затем повторить те же настройки ползунок здесь, или следуйте инструкции на странице пиковый уровень шума. "
6,AEOLIAN,https://mynoise.net/Data/AEOLIAN/bg.jpg,"Drawn by Wind Wind blowing on a stringed instrument can produce sounds, like a bow drawing across the strings of a violin. Eolian harps - or wind harps - have been designed to be played by the wind, and this generator illustrate how they sound like. Enjoy listening to what Aeolus has composed for you! ",Aeolian,https://mynoise.net/NoiseMachines/aeolianDroneGenerator.php,"Aeolian
Drawn by Wind Wind blowing on a stringed instrument can produce sounds, like a bow drawing across the strings of a violin. Eolian harps - or wind harps - have been designed to be played by the wind, and this generator illustrate how they sound like. Enjoy listening to what Aeolus has composed for you! ","Эолийские
Нарисованный ветер дует на струнном инструменте может издавать звуки, как лук чертеж по струнам скрипки. Эоловые арфы - гусли, или ветер, - были разработаны, чтобы быть воспроизведены ветром, и этот генератор проиллюстрировать, как они звучат. Наслаждаться прослушиванием то, что Эол сочинил для вас! "
7,IMPULSE,https://mynoise.net/Data/IMPULSE/bg.jpg,"Impulse Noise Impulse noise is a category of acoustic noise made of instantaneous sharp sounds, such as clicks and pops, called impulses . Our synthetic impulse noise generator produces frequencies that are equally distributed over the human hearing range. Although impulse noise produces the same spectrum as white noise, the nature of these noises is different: white noise generates frequencies as a continuous, uninterrupted flow - think of a waterfall - while impulse noise uses short sonic bursts instead - think of rain drops crashing on the ground. Impulse noise offers an interesting alternative to white noise , and can be used with the same applications in minds, such as the treatment of hyperacusis or the masking of tinnitus. Impulse noise can be used to mask background noises too, or to aid in sleep. ",Impulse Noise,https://mynoise.net/NoiseMachines/impulseNoiseGenerator.php,"Impulse Noise
Impulse Noise Impulse noise is a category of acoustic noise made of instantaneous sharp sounds, such as clicks and pops, called impulses . Our synthetic impulse noise generator produces frequencies that are equally distributed over the human hearing range. Although impulse noise produces the same spectrum as white noise, the nature of these noises is different: white noise generates frequencies as a continuous, uninterrupted flow - think of a waterfall - while impulse noise uses short sonic bursts instead - think of rain drops crashing on the ground. Impulse noise offers an interesting alternative to white noise , and can be used with the same applications in minds, such as the treatment of hyperacusis or the masking of tinnitus. Impulse noise can be used to mask background noises too, or to aid in sleep. ","Импульсный Шум
Импульс импульсный шум шум-это категория акустического шума, производимого мгновенных резких звуков, таких как щелчки и треск, называемых импульсами . Наши синтетические импульса генератор шума производит частоты, которые равномерно распределяются по диапазон человеческого слуха. Хотя и импульсного шума производит та же спектра, как белый шум, характер шума разный: белый шум генерирует частоты, непрерывный, непрерывный поток - думаю водопада - а импульсного шума используют короткие звуковые взрывы вместо - думаю, дождевых капель, разбивающихся о землю. Импульсный шум представляет собой интересную альтернативу для белого шума , и может быть использован с теми же приложениями в умах, таких как лечение гиперакузия или маскировки тиннитуса. Импульсного шума может быть использована для тоже маска фоновые шумы, или, чтобы помочь в сон. "
8,VINYL,https://mynoise.net/Data/VINYL/bg.jpg,"The Soul of the Vinyl, without the Turntable One of the classic tricks for breathing life into digitally recorded material is to incorporate the crackles and hisses from old vinyl recordings. To make our generator sound realistic, set the levels so that our noise generator becomes just audible in the quietest passages of your songs. ",Dust 'n Scratches,https://mynoise.net/NoiseMachines/dustyScratchedVinylNoiseGenerator.php,"Dust 'n Scratches
The Soul of the Vinyl, without the Turntable One of the classic tricks for breathing life into digitally recorded material is to incorporate the crackles and hisses from old vinyl recordings. To make our generator sound realistic, set the levels so that our noise generator becomes just audible in the quietest passages of your songs. ","Пыль-Н царапин
Душа из винила, без поворотного стола один из классических трюков для того, чтобы вдохнуть жизнь в цифровом формате записывается материал для включения потрескивает и шипит из старых виниловых записей. Чтобы сделать наш генератор звук реалистичный, установить уровни, так что наш генератор шума становится слышно только в тихих пассажей ваши песни. "
9,GREGORIAN,https://mynoise.net/Data/GREGORIAN/bg.jpg,"Time Travel Gregorian Chant first came to exist in the 9th and 10th centuries in Western and Central Europe, and were named after the Pope St. Gregory the Great (540-604 A.D). These chants are performed A Capella , without musical support, and sung in Latin. Latin had been the language in use throughout the Roman Catholic Church almost since its foundation. When the Second Vatican Council introduced the use of native language in the Mass instead of Latin, in 1962, the tradition of Gregorian Chants started to decline. Today, Gregorian Chants are rarely sung during offices anymore, but can be heard in some retired monasteries. The sound created by the Monks performing Gregorian Chants, transports you to a time long gone. These chants had such long tradition — more than ten centuries — because they probably touch deep in one's very soul and spirituality, and brought a marvellous sense of inner peace. Music knows neither area, time nor language. If you wish, allow yourself to escape your busy life for a while, and re-connect with yourself. Close your eyes, and let the ancient sounds of Monks carry you away. The sound quality on this generator is amazing. You will be able to hear the chanting lightly echoing off the pillars and rafters. Two recording locations have been used, one close to the singers, and one at the rear of the church, at a great distance from the choir. Those recordings have been made available by means of separate sliders, allowing you to adjust the reverberation level to your liking. Enjoy! ",Gregorian Voices,https://mynoise.net/NoiseMachines/gregorianChoirGenerator.php,"Gregorian Voices
Time Travel Gregorian Chant first came to exist in the 9th and 10th centuries in Western and Central Europe, and were named after the Pope St. Gregory the Great (540-604 A.D). These chants are performed A Capella , without musical support, and sung in Latin. Latin had been the language in use throughout the Roman Catholic Church almost since its foundation. When the Second Vatican Council introduced the use of native language in the Mass instead of Latin, in 1962, the tradition of Gregorian Chants started to decline. Today, Gregorian Chants are rarely sung during offices anymore, but can be heard in some retired monasteries. The sound created by the Monks performing Gregorian Chants, transports you to a time long gone. These chants had such long tradition — more than ten centuries — because they probably touch deep in one's very soul and spirituality, and brought a marvellous sense of inner peace. Music knows neither area, time nor language. If you wish, allow yourself to escape your busy life for a while, and re-connect with yourself. Close your eyes, and let the ancient sounds of Monks carry you away. The sound quality on this generator is amazing. You will be able to hear the chanting lightly echoing off the pillars and rafters. Two recording locations have been used, one close to the singers, and one at the rear of the church, at a great distance from the choir. Those recordings have been made available by means of separate sliders, allowing you to adjust the reverberation level to your liking. Enjoy! ","Григорианский Голоса
Время в пути григорианский хорал первый появился в 9-м и 10-м веках в Западной и Центральной Европе, и назвали в честь Папы Григория Великого (540-604 г.). Эти песнопения исполняются акапельно , без музыкального сопровождения, и поют на латыни. Латынь была языком во всей Римско-Католическая Церковь почти с момента своего основания. Когда Второй Ватиканский Собор внес на использование родного языка в массы, а не Латинской, в 1962 году, традиции григорианского хорала начали снижаться. Сегодня, григорианские песнопения редко больше поется в офисах, но можно услышать в некоторых отставных монастыри. Звук создан монахами выполняя григорианские песнопения, перенесет вас в те времена давно прошли. Эти песнопения были такие давние традиции — более десяти веков — потому что они, наверное, трогают глубоко в душу и духовность, и принес чудесное чувство внутреннего покоя. Музыка не знает ни местности, ни языка. Если вы хотите, позвольте себе уйти от своей насыщенной жизни, и повторно соединиться с самим собой. Закройте глаза, и пусть древние звуки монахи уносят. Качество звука на этот генератор является удивительным. Вы сможете услышать пение легким эхом от колонн и стропил. В двух местах записи были использованы, одна близко к певцам, и один в задней части церкви, на большом расстоянии от хор. Эти записи были сделаны с помощью отдельных регуляторов, что позволяет регулировать уровень реверберации по своему вкусу. Наслаждайтесь! "
